-2,532,-1327,108,1044,-147,-614,-96,839,-736,-50,445,-294,-151,296,-169,-228,306,-144,-422,432,9,-163,31,162,152,-261,-105,16,87,19,-51,507,572,-1654,-444,1175,791,-737,-1168,677,1057,-976,-382,614,505,-375,-466,75,416,-83,-516,169,178,-56,-72,-33,226,73,911,-1508,-307,1379,-94,-787,-702,1282,-532,-393,628,-210,-30,339,-83,-158,-64,198,-201,111,39,209
231,-165,-186,202,167,-82,767,-1442,-405,1491,196,-1081,-402,1475,-404,-731,414,159,-265,-190,323,-142,-9,-154,-93,376,-265,25,-167,49,203,-216,-259,378,724,-655,-1267,1032,930,-613,-1049,823,559,-1238,393,412,-453,-222,645,142,-739,321,474,-524,-255,-184,279,70,-84,-60,-40,535,717,-1801,-270,1973,-103,-1426,-303,1749,-891,-851,1224,-93,-714,198,458,-379,-280,361,116
246,462,-943,-152,944,178,-985,45,794,-566,-230,383,231,-337,-17,205,-189,-121,-29,190,127,-216,36,241,-245,-142,218,134,128,-352,-14,197,85,-187,77,969,-625,-1807,1537,987,-885,-1547,1594,569,-1687,588,457,-264,-410,450,305,-445,167,36,308,-218,-193,50,218,88,638,-1535,-320,1676,464,-1279,-525,1200,-497,-409,417,-23,-173,126,211,-203,-3,120,-67,-46,186
-86,69,125,-227,-12,242,1001,-1592,-168,1260,373,-1479,-182,1567,-510,-972,678,519,-555,-195,426,68,-311,10,-164,252,-178,80,-30,-173,138,107,704,-799,-626,1052,564,-369,-1270,840,290,-1153,604,437,-291,-305,598,206,-503,189,-12,8,66,-214,28,86,-147,-179,163,542,435,-1731,445,1267,-180,-1159,-413,1462,-981,-253,598,-213,-115,369,-1,-323,167,134,-240,44,96
57,-160,49,93,-66,-191,88,1133,-1279,-819,1453,536,-1060,-757,1387,-136,-904,482,384,-253,-337,379,332,-613,-10,366,-51,294,-1193,306,822,-33,-644,-65,779,-819,41,529,-432,44,297,-76,-133,291,-123,-201,125,224,-253,-11,125,111,-213,-45,-149,232,-92,-160,155,122,-298,-31,1401,-1298,-1464,1867,945,-1530,-1182,2151,128,-1551,584,613,-352,-662,585,266,-403,-91,259
57,-61,88,431,407,-1539,126,1388,13,-1416,19,1436,-877,-494,656,195,-541,-128,581,-203,-245,164,41,-148,149,-10,63,-45,120,43,250,690,-1557,-63,1440,-12,-1209,-170,1143,-585,-156,679,-450,-102,536,-207,-487,275,290,-521,258,123,-16,5,-160,31,163,-80,-110,311,757,-1402,-363,1038,498,-1105,-416,1106,-270,-562,374,374,-240,-266,348,-121,51,-64,5,-38,147
-58,0,-48,13,-76,151,-169,708,368,-2260,844,1589,-599,-1574,395,1796,-1703,-39,1128,-301,-388,166,368,-399,-32,70,-303,63,114,-162,87,-37,672,52,-1550,589,1133,-339,-1407,312,1066,-923,-384,609,212,-403,-232,556,102,-359,122,-126,177,-85,218,-120,-71,112,92,705,-960,-640,1005,579,-938,-708,1356,31,-1045,553,452,-446,-461,598,116,-516,100,196,-136,-38,253
-237,34,-8,97,-6,-147,122,854,-321,-1782,893,1619,-744,-1505,940,1008,-1576,205,1105,-491,-580,557,506,-902,139,437,-8,160,154,-289,-6,71,326,591,-1827,458,1338,-245,-1183,102,1208,-1057,-333,893,-205,-208,-17,552,-296,-280,325,115,-248,-66,172,37,-66,353,489,-1041,-449,960,494,-704,-624,755,-234,-408,315,-74,17,182,60,-51,-32,-57,33,-44,78,96,31
138,111,-272,-62,26,174,-137,503,650,-2001,396,1536,-19,-1872,121,1662,-1286,-341,971,-176,-205,56,448,-356,184,-54,-397,-82,-137,297,-216,-86,576,286,-1696,674,1103,-178,-1266,228,1146,-1055,83,391,-129,-54,-219,411,-156,-1,-184,51,-98,121,85,46,-32,206,706,-1464,-50,1205,125,-1158,-277,1288,-500,-678,625,85,-248,-217,467,-175,-210,193,-51,1,-7,92,-21
118,-86,-19,1,197,-151,-84,794,-59,-2239,1525,1388,-875,-1639,993,1416,-1839,333,730,-322,-164,44,253,-283,347,-175,-455,-202,5,300,167,-91,-1199,308,1308,-329,-1004,246,876,-1045,60,562,-335,-200,244,201,-355,82,251,-440,155,160,210,-404,-115,38,185,-332,218,81,-164,187,1145,-1823,-404,1766,175,-1797,-263,1680,-604,-770,666,255,-360,-18,545,-480,58,71,-212
